ID,Text,alignment,Label
214978,สำหรับครอบครัว,0.2895505601929064,CRITICAL
217975,พร้อมอาหารเช้า,0.03827812682292856,CRITICAL
224222,ตั๋วเครื่องบิน,0.2971416084181209,CRITICAL
224260,รับประทานอาหาร,0.30860177327484833,CRITICAL
228987,อิเล็กทรอนิกส์,0.6741179466071928,OK
231520,เว็บไซต์ของเรา,0.1616523077307144,CRITICAL
234287,ที่ไม่สนับสนุน,0.15522516884758994,CRITICAL
234332,ว่าคุณกำลังใช้,0.0046016716581567295,CRITICAL
237166,ไลฟ์และกิจกรรม,0.0658995136754021,CRITICAL
239824,ที่เหมาะกับการ,0.049913141030288495,CRITICAL
241974,อันดับสูงสุดใน,0.06562296518947187,CRITICAL
246556,ติดต่อธุรกิจใน,-0.04323382098589292,CRITICAL
10190,                                         ,-1,Unknown
54701,"                                        
",-1,Unknown
59287, ****************************************,-1,Unknown
70480,/****************************************,-1,Unknown
12473,                                        ,-1,Unknown
38741,****************************************,-1,Unknown
69751,.DataGridViewColumnHeadersHeightSizeMode,-1,Unknown
79732,########################################,-1,Unknown
173708, ร้านอาหารใกล้,0.07762551475829414,CRITICAL
187076, โรคสะเก็ดเงิน,0.11891641209703074,CRITICAL
193024, ที่ดีที่สุดใน,0.06680975366817947,CRITICAL
199498, กรุงเทพมหานคร,0.20465281445978706,CRITICAL
234388, เราสังเกตเห็น,0.0952105076113281,CRITICAL
234954, สงวนลิขสิทธิ์,0.047267556766737766,CRITICAL
246203, แสดงเพิ่มด้วย,-0.004890491194872344,CRITICAL
2475,                                       ,-1,Unknown
112978,新时代中国特色社会主义思想,0.5096228353497899,BAD
124399,赞同其观点和对其真实性负责,0.4759729735758177,CRITICAL
137548,以习近平同志为核心的党中央,0.5900182414240996,BAD
141786,可通过二维码转账支持公众号,0.36567007237621635,CRITICAL
145667,该楼层疑似违规已被系统折叠,0.20123735212227892,CRITICAL
174223,โรคสะเก็ดเงิน,0.4009747238864074,CRITICAL
179447,นักท่องเที่ยว,0.6653677885283535,OK
179803,ที่เกี่ยวข้อง,0.33126444625698465,CRITICAL
188386,ประวัติศาสตร์,0.6552368691059556,OK
196516,คาสิโนออนไลน์,0.3388364304458773,CRITICAL
200893,ประชาสัมพันธ์,0.6060796189607968,OK
206211,แห่งประเทศไทย,0.5893661432653439,BAD
218183,ที่แตกต่างกัน,0.14538820531742494,CRITICAL
219878,มีประสิทธิภาพ,0.39440165909581537,CRITICAL
220258,กรุงเทพมหานคร,0.45196237662964484,CRITICAL
226953,การท่องเที่ยว,0.5597477193947857,BAD
236733,เรียบร้อยแล้ว,0.1599115116306808,CRITICAL
238233,คุ้มค่าที่สุด,-0.019686655715931093,CRITICAL
239679,ค่าใช้จ่ายใดๆ,0.03367023528504107,CRITICAL
242852,เกี่ยวข้องกับ,0.6159903533610808,OK
243341,ความช่วยเหลือ,0.29187119765998853,CRITICAL
246347,ตะวันออกเฉียง,0.2209787001103424,CRITICAL
10747,                                      ,-1,Unknown
8074,                                     ,-1,Unknown
44281,"                                    
",-1,Unknown
183863, อย่างไรก็ตาม,0.14620247939053393,CRITICAL
189829, ไม่ว่าจะเป็น,0.24969715215757834,CRITICAL
192832, สถานที่สำคัญ,0.2267963647265448,CRITICAL
192840, ศูนย์ให้ความ,0.07469336760682439,CRITICAL
209752, จากร้านอาหาร,0.010198664734221687,CRITICAL
233557, เกี่ยวกับเรา,0.18256557359696832,CRITICAL
234687, จึงอาจแสดงผล,0.0345337403462474,CRITICAL
10275,                                    ,-1,Unknown
58080,latesAutoresizingMaskIntoConstraints,-1,Unknown
113694,中华人民共和国民事诉讼法,0.6356045198194658,OK
128054,中华人民共和国居民身份证,0.5965185475272816,BAD
130797,转载目的在于传递更多信息,0.2552942589833545,CRITICAL
140391,这样您就可以继续免费收到,0.3750998616611656,CRITICAL
140453,转贴或以其他方式复制发表,0.4672268971673945,CRITICAL
144599,本网将追究其相关法律责任,0.48680225780966513,CRITICAL
144742,判决书送达之日起十五日内,0.4702214215548728,CRITICAL
168360,ครั้งสุดท้าย,0.40914058141623877,CRITICAL
187777,เส้นเลือดขอด,0.2581102454539356,CRITICAL
195275,ค่าธรรมเนียม,0.3623538709885481,CRITICAL
199600,เกี่ยวกับการ,0.46190286590433194,CRITICAL
209671,อย่างรวดเร็ว,0.15790813471835075,CRITICAL
212416,ที่ยอดเยี่ยม,0.23184788586371075,CRITICAL
213283,よろしくお願いいたします,0.6569770963704996,OK
213439,อินเทอร์เน็ต,0.4199927248280053,CRITICAL
213861,สหรัฐอเมริกา,0.3356149153982263,CRITICAL
215702,วัตถุประสงค์,0.5575970490949399,BAD
216369,เป็นอย่างมาก,0.22617407728440256,CRITICAL
216699,ความสัมพันธ์,0.502570440305935,BAD
219712,คิดค่าบริการ,-0.0007027916365666452,CRITICAL
222398,ผู้ประกอบการ,0.4705917381332027,CRITICAL
222528,พรีเมียร์ลีก,0.35245760120052366,CRITICAL
225449,นายกรัฐมนตรี,0.5676831357312305,BAD
226899,รับผิดชอบต่อ,0.19158910987277394,CRITICAL
228002,ที่ได้รับการ,0.528217008507653,BAD
234910,ให้ความสำคัญ,0.2210669227319832,CRITICAL
234953,และเทคโนโลยี,0.4024482448306978,CRITICAL
236622,ผู้เชี่ยวชาญ,0.48187040546103926,CRITICAL
238677,อัพเดตแผนที่,-0.02887436923030898,CRITICAL
242729,บริหารจัดการ,0.40858861692246445,CRITICAL
246547,ทำความเข้าใจ,0.6924203006895778,OK
1855,                                   ,-1,Unknown
58566, //////////////////////////////////,-1,Unknown
71038, //--------------------------------,-1,Unknown
78215, __________________________________,-1,Unknown
9411,                                  ,-1,Unknown
34589, =================================,-1,Unknown
46647,//--------------------------------,-1,Unknown
57633,"                
                
",-1,Unknown
70331, dequeueReusableCellWithIdentifier,-1,Unknown
75659,"(""--------------------------------",-1,Unknown
182907, มหาวิทยาลัย,0.3640560367051546,CRITICAL
196544, เมื่อวันที่,0.09133261914578583,CRITICAL
200410, เข้าสู่ระบบ,0.15921202416295632,CRITICAL
205150, เจ้าหน้าที่,0.5440613300719345,BAD
206337, ความคิดเห็น,0.5317127598217922,BAD
208603, ประเภทอาหาร,0.30743570409772863,CRITICAL
208660, ผู้อำนวยการ,0.18508842878582607,CRITICAL
222325, เหมาะสำหรับ,0.035745744824288175,CRITICAL
223560, สมัครสมาชิก,0.1867791233349043,CRITICAL
233130, แมนเชสเตอร์,0.16590061392027192,CRITICAL
238172, ร้านอาหารใน,-0.06269697154913495,CRITICAL
239399, เปอร์เซ็นต์,0.2593680362901168,CRITICAL
241908, ล้านดอลลาร์,0.08905612682454006,CRITICAL
241909, หลังจากนั้น,0.09664980384210617,CRITICAL
246017, ありがとうございました,0.3208142442827222,CRITICAL
6447,                                 ,-1,Unknown
19126, --------------------------------,-1,Unknown
22243, ********************************,-1,Unknown
24473,/********************************,-1,Unknown
32527,"                                
",-1,Unknown
52477, ################################,-1,Unknown
78568, ................................,-1,Unknown
105600,新时代中国特色社会主义,0.6445463711041574,OK
107597,摘编或利用其它方式使用,0.050715189868231016,CRITICAL
107619,转载请附上原文出处链接,0.2351916396451989,CRITICAL
128510,或许有别人想知道的答案,0.17281790777393355,CRITICAL
128904,出于传递更多信息之目的,0.6198654499729868,OK
138915,转载至本站只是为了宣传,0.1477689048819559,CRITICAL
140050,增值电信业务经营许可证,0.6282573574125866,OK
140133,人民代表大会常务委员会,0.6645529430872689,OK
143260,全面建设社会主义现代化,0.5413264423372329,BAD
143545,认证成功后即可编辑信息,0.3095446438882775,CRITICAL
145512,了解企业实力直观的方式,0.39264213863498826,CRITICAL
147329,除依法须经批准的项目外,0.35995634670460963,CRITICAL
160984,ありがとうございました,-1,Unknown
161505,ประสิทธิภาพ,0.6141605436139994,OK
164622,ความคิดเห็น,0.6065003318683025,OK
168667,ว่าคุณกำลัง,0.0942167360457394,CRITICAL
177439,เปลี่ยนแปลง,0.1433910100225086,CRITICAL
177705,เจ้าหน้าที่,0.6553277196069043,OK
179684,มหาวิทยาลัย,0.7050876343259351,OK
181262,คอมพิวเตอร์,0.6512349879710368,OK
182266,ที่ดีที่สุด,0.6181890589903393,OK
182797,ความปลอดภัย,0.6124799549500168,OK
183801,วิทยาศาสตร์,0.5246113194681344,BAD
185637,ความต้องการ,0.5924598389865041,BAD
190302,เครื่องดื่ม,0.5895202761331786,BAD
191955,ทำความสะอาด,-1,Unknown
193462,เบราว์เซอร์,0.23264428093230663,CRITICAL
195023,ที่เกิดขึ้น,0.2743877014286696,CRITICAL
195334,สิ่งแวดล้อม,0.49397879708567705,CRITICAL
196131,สัตว์เลี้ยง,0.5542089469230009,BAD
197680,ขึ้นอยู่กับ,0.12341277703372312,CRITICAL
198833,ออกกำลังกาย,0.6394998385677966,OK
203257,เป็นอย่างดี,0.12015550951548963,CRITICAL
206583,การเรียนรู้,0.5899747630016792,BAD
206845,ในประเทศไทย,0.7271896464394236,OK
209561,อย่างแน่นอน,0.14453617089834905,CRITICAL
209992,สามารถในการ,0.3256252163484216,CRITICAL
210393,ราชอาณาจักร,0.6692747235753435,OK
211082,ก่อนหน้านี้,0.6023418260041845,OK
213519,เมื่อวันที่,0.5103929086845302,BAD
214066,ความร่วมมือ,0.4874021191506339,CRITICAL
215461,มากยิ่งขึ้น,0.10954448753465525,CRITICAL
216390,เปรียบเทียบ,0.27329384103046306,CRITICAL
218668,ข้อความเข้า,-0.0010007119155750878,CRITICAL
223273,เครื่องยนต์,0.6693722733318038,OK
224502,ใจกลางเมือง,0.18704897049954547,CRITICAL
228199,หมายความว่า,0.607571892547937,OK
230263,เครื่องหมาย,0.6544685106645722,OK
232109,ที่หลากหลาย,0.29399861666224575,CRITICAL
232633,ผู้อำนวยการ,0.5479762670914803,BAD
232677,ทางการแพทย์,0.5850103666820805,BAD
234512,เป็นหนึ่งใน,0.15789963192679612,CRITICAL
235453,แสดงให้เห็น,0.5147569674794841,BAD
238227,ของโรงแรมใน,-0.017331703273627506,CRITICAL
239875,อนุญาตให้นำ,-0.01430170243662269,CRITICAL
240730,แรงบันดาลใจ,0.3210195430796523,CRITICAL
241637,ราคาประหยัด,0.15770689778112848,CRITICAL
241965,ธรรมชาติและ,0.5200264742143352,BAD
242441,ปรับเปลี่ยน,0.5823137701767971,BAD
242797,ให้ความสนใจ,0.35604945136660787,CRITICAL
243206,เป็นเจ้าของ,0.6273905270064422,OK
243545,ทางการเมือง,0.384903568403132,CRITICAL
244078,ที่สุดในโลก,0.20119130562497206,CRITICAL
244974,ประชาธิปไตย,0.6526956545897311,OK
245266,การทำงานของ,0.6317689523289134,OK
245852,เราสนับสนุน,0.04609385916764669,CRITICAL
761,                                ,-1,Unknown
1360,--------------------------------,-1,Unknown
1629,********************************,-1,Unknown
2960,================================,-1,Unknown
3767,////////////////////////////////,-1,Unknown
4865,################################,-1,Unknown
16074,................................,-1,Unknown
16948,________________________________,-1,Unknown
31916,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,-1,Unknown
63434,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,-1,Unknown
76374,"































",-1,Unknown
85118,++++++++++++++++++++++++++++++++,-1,Unknown
87199,"                               
",-1,Unknown
1335,                               ,-1,Unknown
56516,AutoresizingMaskIntoConstraints,-1,Unknown
83774,"                              
",-1,Unknown
172274, โรงแรมใกล้,-0.008111636748963725,CRITICAL
185299, รายละเอียด,0.21584601686125152,CRITICAL
201870, กุมภาพันธ์,0.15101469810689036,CRITICAL
204492, พิพิธภัณฑ์,0.1809894825796139,CRITICAL
220257, หลังจากที่,0.4799111504174679,CRITICAL
220998, ผู้เข้าพัก,0.05796085254878206,CRITICAL
222854, เปิดเผยว่า,0.06929386755889382,CRITICAL
230121, ประกอบด้วย,0.2144729949677438,CRITICAL
230170, บรรจุภัณฑ์,0.22011911471394335,CRITICAL
235127, จากผลลัพธ์,0.02344451956741451,CRITICAL
238114, สระว่ายน้ำ,0.5177909513409213,BAD
240469, ลิเวอร์พูล,0.19799564226491534,CRITICAL
7322,                              ,-1,Unknown
41558, UnsupportedOperationException,-1,Unknown
82189,------------------------------,-1,Unknown
92699,"                             
",-1,Unknown
95351,NavigationItemSelectedListener,-1,Unknown
107167,目的在于传递更多信息,0.44853528905845835,CRITICAL
107171,生意通银牌及以上会员,0.11962380273995901,CRITICAL
107517,承担一切因您的行为而,0.2881816714298564,CRITICAL
107560,转贴或以其他方式复制,0.19389815420285747,CRITICAL
107655,疑似违规已被系统折叠,0.396727521124416,CRITICAL
107664,依法须经批准的项目外,0.33626673095209086,CRITICAL
112691,你对这个回答的评价是,0.32519361182539025,CRITICAL
113154,经相关部门批准后方可,0.3296716896605949,CRITICAL
123613,人力资源和社会保障局,0.7596853566107729,OK
124767,财产保险股份有限公司,0.5293350316699131,BAD
133775,中华人民共和国合同法,0.6080078719099938,OK
135261,个或多个下面的关键词,0.25639365981020873,CRITICAL
136165,国家市场监督管理总局,0.6224404334711618,OK
137475,所有章节均由网友上传,0.35047240605776164,CRITICAL
141768,受苹果公司新规定影响,0.38478838433023316,CRITICAL
143015,最高人民法院关于审理,0.5794540402723535,BAD
143063,实现中华民族伟大复兴,0.6013804912630419,OK
144821,未经本网授权不得转载,0.36251814547239986,CRITICAL
145666,归属于上市公司股东的,0.4717065350541933,CRITICAL
146376,汽车销售服务有限公司,0.6598644058415762,OK
155332,ท่องเที่ยว,0.5766677054181422,BAD
155716,สะเก็ดเงิน,0.20071648374386783,CRITICAL
156409,เกี่ยวข้อง,0.5727330807773997,BAD
159786,ที่น่าสนใจ,0.2670190648132488,CRITICAL
162388,ได้รับความ,0.5325889700584188,BAD
162860,ค่าใช้จ่าย,0.4365663892166169,CRITICAL
163629,ความสำเร็จ,0.4980771656901308,CRITICAL
164097,แตกต่างกัน,0.4794204168845441,CRITICAL
165718,และกิจกรรม,0.6012757201828007,OK
165973,เครื่องบิน,0.6790000713784995,OK
167222,สระว่ายน้ำ,0.5031940847231106,BAD
168452,สังเกตเห็น,0.10913683808359492,CRITICAL
175135,ประสบการณ์,0.7292976463686216,OK
175295,ありがとうございます,-1,Unknown
176158,รายละเอียด,0.6437712483842781,OK
180144,อุตสาหกรรม,0.5891159783686003,BAD
181398,ต่างประเทศ,0.2660922001680669,CRITICAL
181515,คณะกรรมการ,-1,Unknown
182533,จำเป็นต้อง,0.12812483565260044,CRITICAL
184236,การแข่งขัน,0.6740606572965981,OK
186354,ความสามารถ,-1,Unknown
188492,のではないでしょうか,-1,Unknown
188951,ปฏิบัติการ,0.6804497364253705,OK
189009,ที่ต้องการ,0.5161139006082791,BAD
189177,เป็นเรื่อง,0.5955551476336923,BAD
190630,เครื่องมือ,0.6815615977487113,OK
191954,ภาษาอังกฤษ,0.6951088435721778,OK
195371,เคลื่อนไหว,0.23255548929017691,CRITICAL
197512,สร้างสรรค์,0.43196416047709973,CRITICAL
198664,ในปัจจุบัน,0.57528790861811,BAD
198852,ความรู้สึก,0.5760704764893102,BAD
199112,เลยทีเดียว,0.09665039722934188,CRITICAL
199146,ที่เหมาะสม,0.22775155254601828,CRITICAL
200834,ความเสี่ยง,0.5746214470446016,BAD
201749,ปฏิบัติงาน,0.5143130329397751,BAD
202520,การเดินทาง,0.603731035350633,OK
203608,よろしくお願いします,0.6881053569358186,OK
205374,รัฐธรรมนูญ,0.5630135385344275,BAD
205997,ขับเคลื่อน,0.34714634935341865,CRITICAL
209956,แลกเปลี่ยน,0.4882065610423552,CRITICAL
212450,ทั่วประเทศ,0.2450673622610031,CRITICAL
213330,หลักทรัพย์,0.42530595555540235,CRITICAL
215010,させていただきました,0.5945122600732012,BAD
215427,อุบัติเหตุ,0.39235701975270126,CRITICAL
217323,ทางการเงิน,0.6209154084205991,OK
219009,ประกอบด้วย,0.28652328470080735,CRITICAL
219114,ป้องกันการ,0.5183654759746918,BAD
221368,บัตรเครดิต,0.5632482734563775,BAD
221829,เพลิดเพลิน,0.27031448629039484,CRITICAL
223078,ในเว็บไซต์,0.26050160559460417,CRITICAL
223272,เงินรางวัล,0.03169980689811483,CRITICAL
223597,เต็มไปด้วย,0.46045417080788315,CRITICAL
223829,หลีกเลี่ยง,0.3691749674273339,CRITICAL
224251,ระหว่างการ,0.40977493799480535,CRITICAL
224538,กล้ามเนื้อ,0.31813809228677664,CRITICAL
225795,มีส่วนร่วม,0.5593522594165025,BAD
226608,ช่วยให้คุณ,0.5003227511051351,BAD
229412,แก้ไขปัญหา,0.47797258056282255,CRITICAL
232205,ในการทำงาน,0.6176288076782377,OK
232926,พิพิธภัณฑ์,0.5487035823120398,BAD
233660,โรแมนติกใน,0.024909177988960005,CRITICAL
233834,อย่างเดียว,0.07567753712864932,CRITICAL
233880,เนื้อหาของ,0.3828519585563116,CRITICAL
234177,ในครั้งนี้,0.6032704578329481,OK
234677,ถือว่าเป็น,0.5406086231383846,BAD
234739,ดูแลสุขภาพ,0.39629660009557155,CRITICAL
235867,ปฏิบัติตาม,0.5562705135326573,BAD
237030,การซื้อขาย,0.5191064185266813,BAD
237739,ผลกระทบต่อ,0.29111231801288784,CRITICAL
238348,มังสวิรัติ,0.3781078083318262,CRITICAL
238460,ที่จะทำให้,0.49482821295846524,CRITICAL
238983,ออสเตรเลีย,0.397119499465075,CRITICAL
239122,ผลประโยชน์,0.508362695620456,BAD
239504,เขตพื้นที่,0.556498684511151,BAD
239870,สำหรับเด็ก,0.46349071284063614,CRITICAL
239925,สมบูรณ์แบบ,0.30929868133679367,CRITICAL
240238,ได้อย่างไร,0.1686246965998785,CRITICAL
242174,โดยไม่ต้อง,0.10586899777385325,CRITICAL
242583,ประถมศึกษา,0.5566417394547307,BAD
243323,ก่อให้เกิด,0.5253191926693752,BAD
244438,การเล่นเกม,0.5477890440060763,BAD
4448,                             ,-1,Unknown
24630,"                            
",-1,Unknown
91288,.DataGridViewContentAlignment,-1,Unknown
173487, самостоятельно,-1,Unknown
176756, осуществляется,0.6582743734073702,OK
177050, характеристики,0.38144996762813504,CRITICAL
180290, использованием,0.6781239032115461,OK
184055, дополнительные,0.545240049876455,BAD
185982, соответственно,0.7100968702626802,OK
186680, муниципального,0.6246054852892882,OK
187489, дополнительных,0.43139548702541414,CRITICAL
190251, предварительно,0.5914092759158338,BAD
191401, представителей,0.7481474135667416,OK
191732, обстоятельства,0.4885481903765459,CRITICAL
192482, восстановления,0.5337046729398374,BAD
193297, предоставления,0.05943458749280822,CRITICAL
193761, Характеристики,0.4682378438236605,CRITICAL
194854, производителей,0.3999017577744635,CRITICAL
197567, промышленности,0.5353126404421916,BAD
200281, использоваться,0.5606300109452464,BAD
205189, контролировать,0.49553178818646587,CRITICAL
206000, противовоспали,0.08173480104919739,CRITICAL
206661, взаимодействия,0.554366246081279,BAD
208829, сотрудничества,0.4574336505575091,CRITICAL
209783, самоуправления,0.13777816904110982,CRITICAL
210650, дополнительной,0.6987105966331012,OK
210750, сопровождается,0.5470771765142064,BAD
211027, экономического,0.437606087876842,CRITICAL
212511, восстановление,0.6031061892894989,OK
213877, международного,0.18162669224410571,CRITICAL
214951, Великобритании,0.6881045207393052,OK
215906, информационных,0.11479209617005587,CRITICAL
218637, дополнительный,0.22022145051194197,CRITICAL
220050, электроэнергии,0.4868785401449292,CRITICAL
220082, индивидуальных,0.4281537646533378,CRITICAL
221003, придерживаться,0.6382750335983067,OK
223039, предоставление,0.06475169508408421,CRITICAL
223197, доказательства,0.5302676224830042,BAD
225454, дополнительную,0.07703193197340305,CRITICAL
228844, предоставлении,0.3054539803037888,CRITICAL
231628, информационной,0.6777697998986382,OK
231862, сотрудничество,0.47449238234280106,CRITICAL
232024, инфраструктуры,0.5307661221470235,BAD
232420, установленного,0.46543262881731556,CRITICAL
233783, правонарушения,0.6428133325515476,OK
235179, взаимодействие,0.4489725633643196,CRITICAL
235928, предотвращения,0.06979071730812503,CRITICAL
237682, Дополнительные,0.05391899221629555,CRITICAL
240474, исполнительной,0.4931172304430415,CRITICAL
240878, Соответственно,0.5527041396749329,BAD
242036, принадлежности,0.42762056140148225,CRITICAL
243488, финансирования,0.28985816854102486,CRITICAL
243714, многочисленные,0.11232956267312212,CRITICAL
244009, дополнительное,0.6867577659100598,OK
